user_id,timestamp,text,audience,geotag,has_media,contains_url,is_reply,is_repost,language,privacy_risk_score,drift_phase,user_archetype,was_compromised,pii_signals
u01_maya,2025-09-01 07:00:36,"ok but Headache again. Jules says hydrate, so fine… water it is. #family",custom_group,False,False,False,False,False,en,0.313,mild,Stable/Normal,False,"['health', 'first_name']"
u01_maya,2025-09-03 18:49:33,lowkey meme + first pumpkin-spice sightings. feeling stressed. #update,public,False,False,False,False,False,en,0.028,baseline,Stable/Normal,False,[]
u01_maya,2025-09-03 18:30:18,commute + back-to-work. feeling stressed. #selfcare,friends,False,False,False,False,False,en,0.025,baseline,Stable/Normal,False,[]
u01_maya,2025-09-04 09:47:52,ok but music + first pumpkin-spice sightings. feeling happy. #coding /s (video),friends,False,True,False,False,False,en,0.166,baseline,Stable/Normal,False,[]
u01_maya,2025-09-04 09:02:48,small win: playlist + first pumpkin-spice sightings. feeling happy. #coding,friends,False,False,False,False,False,en,0.149,baseline,Stable/Normal,False,[]
u01_maya,2025-09-06 18:29:05,ok but weekend + still warm. feeling excited. #travel 😬,custom_group,False,False,False,False,False,en,0.064,baseline,Stable/Normal,False,[]
u01_maya,2025-09-09 07:40:38,small win: commute + back-to-work. feeling anxious. #MondayMood,custom_group,False,False,False,False,False,en,0.083,baseline,Stable/Normal,False,[]
u01_maya,2025-09-10 12:09:24,small win: gym + back-to-work. feeling stressed. #travel,custom_group,False,False,False,False,False,en,0.138,baseline,Stable/Normal,False,[]
u01_maya,2025-09-10 21:55:12,small win: dog + first pumpkin-spice sightings. feeling over it. #MondayMood,public,True,False,False,False,False,en,0.155,baseline,Stable/Normal,False,[]
u01_maya,2025-09-11 13:29:00,small win: food + first pumpkin-spice sightings. feeling excited. #selfcare,custom_group,False,False,False,False,False,en,0.087,baseline,Stable/Normal,False,[]
u01_maya,2025-09-11 08:43:58,ok but gym + back-to-work. feeling over it. #WFH ??,friends,False,False,False,False,False,en,0.134,baseline,Stable/Normal,False,[]
u01_maya,2025-09-17 08:39:55,lowkey recipe + back-to-work. feeling pumped. #gym,public,False,True,False,False,False,en,0.121,baseline,Stable/Normal,False,[]
u01_maya,2025-09-18 09:24:54,"lowkey Early flight tomorrow (5am 😭). If I’m slow to reply, that’s why.",friends,False,False,False,False,False,en,0.324,mild,Stable/Normal,False,['schedule']
u01_maya,2025-09-19 19:14:40,small win: food + still warm. feeling excited. #MondayMood,public,False,False,False,False,False,en,0.097,baseline,Stable/Normal,False,[]
u01_maya,2025-09-21 08:58:52,lowkey weekend + still warm. feeling excited. #selfcare qué onda,friends,True,False,False,False,False,es,0.112,baseline,Stable/Normal,False,[]
u01_maya,2025-09-23 19:23:06,small win: coffee + first pumpkin-spice sightings. feeling pumped. #lol,friends,False,True,False,False,False,en,0.173,baseline,Stable/Normal,False,[]
u01_maya,2025-09-23 12:42:47,lowkey sunset + back-to-work. feeling excited. #selfcare,friends,False,True,False,False,False,en,0.082,baseline,Stable/Normal,False,[]
u01_maya,2025-09-24 07:54:52,lowkey book + late-summer. feeling pumped. #MondayMood,public,False,False,False,False,False,en,0.113,baseline,Stable/Normal,False,[]
u01_maya,2025-09-24 21:08:34,ok but music + back-to-work. feeling tired. #gym /s,friends,False,False,False,False,False,en,0.063,baseline,Stable/Normal,False,[]
